Converged after 207 iterations.
Iteration 188 time: 222 microseconds
Iteration 189 time: 215 microseconds
Iteration 190 time: 219 microseconds
Iteration 191 time: 215 microseconds
Iteration 192 time: 215 microseconds
Iteration 193 time: 215 microseconds
Iteration 194 time: 215 microseconds
Iteration 195 time: 215 microseconds
Iteration 196 time: 215 microseconds
Iteration 197 time: 228 microseconds
Iteration 198 time: 215 microseconds
Iteration 199 time: 221 microseconds
Iteration 200 time: 215 microseconds
Iteration 201 time: 215 microseconds
Iteration 202 time: 215 microseconds
Iteration 203 time: 228 microseconds
Iteration 204 time: 215 microseconds
Iteration 205 time: 218 microseconds
Iteration 206 time: 215 microseconds
Iteration 207 time: 218 microseconds
